"","code","borough","ward_name","year","population","hectares","square_kilometres","population_per_hectare","population_per_square_kilometre"
"127","E05000152","Croydon","Croham",2022,17382,352.3,3.523,49.33863185,4933.863185
"128","E05000153","Croydon","Fairfield",2022,30959,376.5,3.765,82.22841965,8222.841965
"129","E05000154","Croydon","Fieldway",2022,12046,148.5,1.485,81.11784512,8111.784512
"130","E05000155","Croydon","Heathfield",2022,13298,871,8.71,15.26750861,1526.750861
"131","E05000156","Croydon","Kenley",2022,15795,646,6.46,24.4504644,2445.04644
"132","E05000157","Croydon","New Addington",2022,11670,242.8,2.428,48.06425041,4806.425041
"133","E05000158","Croydon","Norbury",2022,18266,252,2.52,72.48412698,7248.412698
"134","E05000159","Croydon","Purley",2022,16650,417.3,4.173,39.89935298,3989.935298
"135","E05000160","Croydon","Sanderstead",2022,13050,634.6,6.346,20.56413489,2056.413489
"136","E05000161","Croydon","Selhurst",2022,19400,227.7,2.277,85.19982433,8519.982433
"137","E05000162","Croydon","Selsdon and Ballards",2022,12284,640.6,6.406,19.17577271,1917.577271
"138","E05000163","Croydon","Shirley",2022,14315,280,2.8,51.125,5112.5
"139","E05000164","Croydon","South Norwood",2022,17584,238.1,2.381,73.85132297,7385.132297
"140","E05000165","Croydon","Thornton Heath",2022,17578,168.1,1.681,104.5687091,10456.87091
"141","E05000166","Croydon","Upper Norwood",2022,16951,262,2.62,64.69847328,6469.847328
"142","E05000167","Croydon","Waddon",2022,18640,364.4,3.644,51.15257958,5115.257958
"143","E05000168","Croydon","West Thornton",2022,19495,197.4,1.974,98.75886525,9875.886525
"144","E05000169","Croydon","Woodside",2022,17118,216.7,2.167,78.99400092,7899.400092
"145","E05000170","Ealing","Acton Central",2022,16529,177.5,1.775,93.12112676,9312.112676
"146","E05000171","Ealing","Cleveland",2022,15774,223.2,2.232,70.67204301,7067.204301
"147","E05000172","Ealing","Dormers Wells",2022,14939,225.9,2.259,66.13103143,6613.103143
"148","E05000173","Ealing","Ealing Broadway",2022,16780,185.7,1.857,90.36079698,9036.079698
"149","E05000174","Ealing","Ealing Common",2022,14275,214,2.14,66.70560748,6670.560748
"150","E05000175","Ealing","East Acton",2022,26308,427.2,4.272,61.582397,6158.2397
"151","E05000176","Ealing","Elthorne",2022,17242,200,2,86.21,8621
"152","E05000177","Ealing","Greenford Broadway",2022,18728,252.2,2.522,74.25852498,7425.852498
"153","E05000178","Ealing","Greenford Green",2022,17905,338.1,3.381,52.95770482,5295.770482
"154","E05000179","Ealing","Hanger Hill",2022,16088,327.4,3.274,49.1386683,4913.86683
"155","E05000180","Ealing","Hobbayne",2022,14472,220.8,2.208,65.54347826,6554.347826
"156","E05000181","Ealing","Lady Margaret",2022,13894,153.9,1.539,90.27940221,9027.940221
"157","E05000182","Ealing","Northfield",2022,14022,153.5,1.535,91.3485342,9134.85342
"158","E05000183","Ealing","North Greenford",2022,15259,324.8,3.248,46.9796798,4697.96798
"159","E05000184","Ealing","Northolt Mandeville",2022,15710,275.2,2.752,57.08575581,5708.575581
"160","E05000185","Ealing","Northolt West End",2022,14548,354.8,3.548,41.00338219,4100.338219
"161","E05000186","Ealing","Norwood Green",2022,17402,379.4,3.794,45.86715867,4586.715867
"162","E05000187","Ealing","Perivale",2022,15917,336.5,3.365,47.30163447,4730.163447
"163","E05000188","Ealing","South Acton",2022,18939,171.9,1.719,110.1745201,11017.45201
"164","E05000189","Ealing","Southall Broadway",2022,17314,162.2,1.622,106.7447596,10674.47596
"165","E05000190","Ealing","Southall Green",2022,18242,158.5,1.585,115.0914826,11509.14826
"166","E05000191","Ealing","Southfield",2022,13915,143.5,1.435,96.96864111,9696.864111
"167","E05000192","Ealing","Walpole",2022,13715,146.6,1.466,93.55388813,9355.388813
"168","E05000193","Enfield","Bowes",2022,15237,148.5,1.485,102.6060606,10260.60606
"169","E05000194","Enfield","Bush Hill Park",2022,14971,252.6,2.526,59.26761679,5926.761679
"170","E05000195","Enfield","Chase",2022,14711,1694.4,16.944,8.682129367,868.2129367
"171","E05000196","Enfield","Cockfosters",2022,16550,1040.7,10.407,15.90275776,1590.275776
"172","E05000197","Enfield","Edmonton Green",2022,19306,312.9,3.129,61.70022371,6170.022371
"173","E05000198","Enfield","Enfield Highway",2022,16995,463.9,4.639,36.63505066,3663.505066
"174","E05000199","Enfield","Enfield Lock",2022,18472,325.1,3.251,56.81944017,5681.944017
"175","E05000200","Enfield","Grange",2022,14521,328.6,3.286,44.19050517,4419.050517
"176","E05000201","Enfield","Haselbury",2022,17620,179.7,1.797,98.0523094,9805.23094
"177","E05000202","Enfield","Highlands",2022,14969,508.8,5.088,29.4202044,2942.02044
"178","E05000203","Enfield","Jubilee",2022,14860,391.8,3.918,37.92751404,3792.751404
"179","E05000204","Enfield","Lower Edmonton",2022,17750,217.5,2.175,81.6091954,8160.91954
"180","E05000205","Enfield","Palmers Green",2022,16605,194.1,1.941,85.54868624,8554.868624
"181","E05000206","Enfield","Ponders End",2022,17929,354.5,3.545,50.57545839,5057.545839
"182","E05000207","Enfield","Southbury",2022,16284,286.4,2.864,56.8575419,5685.75419
"183","E05000208","Enfield","Southgate",2022,16343,269.1,2.691,60.73206986,6073.206986
"184","E05000209","Enfield","Southgate Green",2022,16380,261.7,2.617,62.59075277,6259.075277
"185","E05000210","Enfield","Town",2022,16169,223.3,2.233,72.40931482,7240.931482
"186","E05000211","Enfield","Turkey Street",2022,15596,225.7,2.257,69.10057599,6910.057599
"187","E05000212","Enfield","Upper Edmonton",2022,24077,265.1,2.651,90.8223312,9082.23312
"188","E05000213","Enfield","Winchmore Hill",2022,14647,275.7,2.757,53.12658687,5312.658687
"189","E05000214","Greenwich","Abbey Wood",2022,16084,265.3,2.653,60.62570675,6062.570675
"190","E05000215","Greenwich","Blackheath Westcombe",2022,13472,213.8,2.138,63.0121609,6301.21609
"191","E05000216","Greenwich","Charlton",2022,15254,203.4,2.034,74.99508358,7499.508358
"192","E05000217","Greenwich","Coldharbour and New Eltham",2022,13594,254.9,2.549,53.33071793,5333.071793
"193","E05000218","Greenwich","Eltham North",2022,12607,255,2.55,49.43921569,4943.921569
"194","E05000219","Greenwich","Eltham South",2022,12879,462.7,4.627,27.83444997,2783.444997
"195","E05000220","Greenwich","Eltham West",2022,16469,242.6,2.426,67.88540808,6788.540808
"196","E05000221","Greenwich","Glyndon",2022,19618,170.4,1.704,115.129108,11512.9108
"197","E05000222","Greenwich","Greenwich West",2022,21866,279.7,2.797,78.1766178,7817.66178
"198","E05000223","Greenwich","Kidbrooke with Hornfair",2022,14660,237.8,2.378,61.64844407,6164.844407
"199","E05000224","Greenwich","Middle Park and Sutcliffe",2022,13372,328.4,3.284,40.71863581,4071.863581
"200","E05000225","Greenwich","Peninsula",2022,26331,448.2,4.482,58.74832664,5874.832664
"201","E05000226","Greenwich","Plumstead",2022,17865,235.1,2.351,75.98894088,7598.894088
"202","E05000227","Greenwich","Shooters Hill",2022,13219,378,3.78,34.97089947,3497.089947
"203","E05000228","Greenwich","Thamesmead Moorings",2022,21646,481.1,4.811,44.99272501,4499.272501
"204","E05000229","Greenwich","Woolwich Common",2022,21885,262,2.62,83.53053435,8353.053435
"205","E05000230","Greenwich","Woolwich Riverside",2022,26218,319.5,3.195,82.05946792,8205.946792
"206","E05000231","Hackney","Brownswood",2022,15894,84.1,0.841,188.9892985,18898.92985
"207","E05000232","Hackney","Cazenove",2022,14866,68.4,0.684,217.3391813,21733.91813
"208","E05000233","Hackney","Chatham",2022,16153,90.9,0.909,177.7007701,17770.07701
"209","E05000234","Hackney","Clissold",2022,13352,70.2,0.702,190.1994302,19019.94302
"210","E05000235","Hackney","Dalston",2022,17274,92.7,0.927,186.3430421,18634.30421
"211","E05000236","Hackney","De Beauvoir",2022,17640,88.9,0.889,198.4251969,19842.51969
"212","E05000237","Hackney","Hackney Central",2022,14950,78,0.78,191.6666667,19166.66667
"213","E05000238","Hackney","Hackney Downs",2022,14456,101.8,1.018,142.0039293,14200.39293
"214","E05000239","Hackney","Haggerston",2022,19669,124.3,1.243,158.2381335,15823.81335
"215","E05000240","Hackney","Hoxton",2022,18742,83.9,0.839,223.3849821,22338.49821
"216","E05000241","Hackney","King's Park",2022,12477,181.4,1.814,68.78169791,6878.169791
"217","E05000242","Hackney","Leabridge",2022,15832,106.4,1.064,148.7969925,14879.69925
"218","E05000243","Hackney","Lordship",2022,14056,119.1,1.191,118.0184719,11801.84719
"219","E05000244","Hackney","New River",2022,18256,98.3,0.983,185.7171923,18571.71923
"220","E05000245","Hackney","Queensbridge",2022,15001,108,1.08,138.8981481,13889.81481
