gss_code,five_min_area,count_5m,ten_min_area,count_10m,fifteen_min_area,count_15m,twenty_min_area,count_20m,twenty_five_min_area,count_25m,twenty_five_plus_area,count_25_plus,ward_name.x,borough_name,borough_area,os_area,open_space_with_access,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,ward_name.y,ward_hectares,borough.x,ward_name2,borough.y,ward_name,year,population,hectares,square_kilometres,population_per_hectare,population_per_square_kilometre
E05000047,469999.68992215,"47",900003.21017886,"90",669997.76996051,"67",350001.4100284,"35",189996.30998834,"19",150003.62002062,"15",Coppetts,Barnet,2720602.88,1097579.449,389700.3727,3,10,2,4,6,1,0.8,1.6,5.4,1.68639895357023,Coppetts,272.058,Barnet,Coppetts,Barnet,Coppetts,"2022","17726",272,2.72,65.16911765,6516.911765
E05000048,349999.17999162,"35",879996.17013784,"88",770001.90991264,"77",600001.42005252,"60",429996.11006974,"43",730002.42990475,"73",East Barnet,Barnet,3749402.885,1306528.741,743569.7608,4,31,4,6,20,1,0.6,1.4,13,2.56494935746154,East Barnet,374.943,Barnet,East Barnet,Barnet,East Barnet,"2022","17771",375.2,3.752,47.36407249,4736.407249
E05000049,320002.7399411,"32",799994.07995902,"80",610003.93006199,"61",270003.0799911,"27",209999.80000272,"21",289996.61004897,"29",East Finchley,Barnet,2509887.3,948091.7595,687091.9893,4,21,5,6,8,1,0.6,1.6,8.8,2.17475172148416,East Finchley,250.989,Barnet,East Finchley,Barnet,East Finchley,"2022","17268",252.4,2.524,68.41521395,6841.521395
E05000050,270003.92000269,"27",700000.32998739,"70",680002.0899935,"68",389997.45992479,"39",169997.13008053,"17",3363639.42128852,"337",Edgware,Barnet,5556464.845,3000299.75,354489.6371,5,6,3,4,6,1,0,1,3.6,1.28093384546206,Edgware,555.652,Barnet,Edgware,Barnet,Edgware,"2022","21591",556,5.56,38.83273381,3883.273381
E05000051,229998.25003278,"23",730002.10000479,"73",719990.47005202,"72",560004.42991309,"56",299997.18005539,"30",210000.12998462,"21",Finchley Church End,Barnet,2725662.395,373996.2649,218780.7957,1,2,1,3,0,0.6,0.6,1.2,1.4,0.336472236621213,Finchley Church End,272.564,Barnet,Finchley Church End,Barnet,Finchley Church End,"2022","17095",270.9,2.709,63.10446659,6310.446659
E05000052,360000.32009465,"36",940001.76992564,"94",1109996.22001146,"111",900001.11000696,"90",599991.65996364,"60",810008.83009099,"81",Garden Suburb,Barnet,4727041.105,1145197.878,730752.0473,4,6,3,4,6,0.8,0.6,1.2,3.2,1.16315080980568,Garden Suburb,472.705,Barnet,Garden Suburb,Barnet,Garden Suburb,"2022","16831",473.1,4.731,35.57598816,3557.598816
E05000053,390002.19989602,"39",1119993.27008553,"112",720003.71995648,"72",390003.68005067,"39",119999.67996749,"12",249995.13011915,"25",Golders Green,Barnet,2972918.44,433301.0256,226346.8153,0,2,1,3,1,0.8,0.8,1.4,1.4,0.336472236621213,Golders Green,297.292,Barnet,Golders Green,Barnet,Golders Green,"2022","23985",297.8,2.978,80.5406313,8054.06313
E05000054,329996.7899873,"33",1079991.11001091,"108",610009.86004357,"61",409998.87003417,"41",260002.34995444,"26",2732282.58237403,"273",Hale,Barnet,5423194.445,2645396.04,2288766.25,2,6,1,4,5,1,0,1,3.6,1.28093384546206,Hale,542.315,Barnet,Hale,Barnet,Hale,"2022","18741",542.2,5.422,34.56473626,3456.473626
E05000055,419999.26000942,"42",970005.42990027,"97",529998.33006955,"53",190001.61003881,"19",209999.7800024,"21",529998.19994002,"53",Hendon,Barnet,2838694.465,464498.5827,336544.1914,1,10,4,9,6,1,0.6,1.6,5.4,1.68639895357023,Hendon,283.871,Barnet,Hendon,Barnet,Hendon,"2022","20159",284,2.84,70.98239437,7098.239437
E05000056,329997.41000168,"33",799999.22992554,"80",1019996.84016612,"102",959997.19994129,"96",742203.1697308,"74",4496617.37979887,"448",High Barnet,Barnet,8306622.725,3980023.118,1553053.979,1,3,1,2,1,0.8,0,0.8,1.2,0.182321556793955,High Barnet,830.666,Barnet,High Barnet,Barnet,High Barnet,"2022","16064",830.9,8.309,19.3332531,1933.32531
