"","gss_code","med_caring","med_enjoying","med_learning","med_living","med_supplying","med_div_score","med_prox_score","med_total_score","med_func_comp","med_log_func_comp","ward_name","ward_hectares","borough","ward_name2"
"91","E05000091",0,2,0,4,3,0.6,0.8,1.6,1.4,0.336472236621213,"Harlesden",111.37,"Brent","Harlesden"
"92","E05000092",12,40,1,8,34,1,0.8,1.6,19,2.94443897916644,"Kensal Green",112.008,"Brent","Kensal Green"
"93","E05000093",2,10,1,4,15,1,0.6,1.4,6.2,1.82454929205105,"Kenton",224.315,"Brent","Kenton"
"94","E05000094",1,2,0,3,2,0.8,0.8,1.4,2.2,0.78845736036427,"Kilburn",94.4,"Brent","Kilburn"
"95","E05000095",6,3,0,5,1,0.8,0.6,1.6,3,1.09861228866811,"Mapesbury",139.347,"Brent","Mapesbury"
"96","E05000096",7,17,3,8,22,1,0.4,1.2,12.6,2.53369681395743,"Northwick Park",267.991,"Brent","Northwick Park"
"97","E05000097",1,4,1,2,2,0.6,0.8,1.4,2,0.693147180559945,"Preston",238.828,"Brent","Preston"
"98","E05000098",5,13.5,0,4,11,0.8,0.8,1.4,7.4,2.00148000021012,"Queens Park",148.562,"Brent","Queens Park"
"99","E05000099",2,6,0,3,3,0.8,0.8,1.6,3.8,1.33500106673234,"Queensbury",205.124,"Brent","Queensbury"
"100","E05000100",1,3,1,3,5,0.8,0.6,1.4,2.6,0.955511445027436,"Stonebridge",405.063,"Brent","Stonebridge"
"101","E05000101",1,1,0,2,3,0.8,0.6,1.4,1.4,0.336472236621213,"Sudbury",212.48,"Brent","Sudbury"
"102","E05000102",0,1,0,2,3,0.6,0.6,1.2,1.2,0.182321556793955,"Tokyngton",275.917,"Brent","Tokyngton"
"103","E05000103",2,0.5,1,2,1,0.8,0.8,1.4,1.6,0.470003629245736,"Welsh Harp",231.897,"Brent","Welsh Harp"
"104","E05000104",8,33,15,16,36,1,0.4,1.4,21.6,3.07269331469012,"Wembley Central",160.424,"Brent","Wembley Central"
"105","E05000105",10,74,6,16,38,1,0.6,1.6,28.8,3.3603753871419,"Willesden Green",154.803,"Brent","Willesden Green"
"106","E05000106",1,2,0,1,2,0.8,0.6,1.4,1.8,0.587786664902119,"Bickley",486.913,"Bromley","Bickley"
"107","E05000107",1,2,0,2,4,0.8,0,0.8,1.8,0.587786664902119,"Biggin Hill",828.039,"Bromley","Biggin Hill"
"108","E05000108",0,2,0,4,4,0.6,0.2,1,2.4,0.8754687373539,"Bromley Common and Keston",830.82,"Bromley","Bromley Common and Keston"
"109","E05000109",2,7,2,2,5,1,0.6,1.4,4.4,1.48160454092422,"Bromley Town",371.656,"Bromley","Bromley Town"
"110","E05000110",1,3,1,4,3,0.8,0,0.8,1.8,0.587786664902119,"Chelsfield and Pratts Bottom",1256.32,"Bromley","Chelsfield and Pratts Bottom"
"111","E05000111",1,6,0,2,6,0.6,0,1,2.8,1.02961941718116,"Chislehurst",1044.12,"Bromley","Chislehurst"
"112","E05000112",5,11,1,6,8,0.8,0.8,1.6,5.6,1.7227665977411,"Clock House",226.647,"Bromley","Clock House"
"113","E05000113",1,5,1,3,0,0.8,0.6,1.4,1.2,0.182321556793955,"Copers Cope",328.692,"Bromley","Copers Cope"
"114","E05000114",0,3,3,2,1,0.8,0,0.8,1.8,0.587786664902119,"Cray Valley East",1327.866,"Bromley","Cray Valley East"
"115","E05000115",3.5,8,1,2,7,1,0.4,1.2,4,1.38629436111989,"Cray Valley West",393.85,"Bromley","Cray Valley West"
"116","E05000116",2,22,2,6,4,1,0.6,1.4,5.8,1.75785791755237,"Crystal Palace",229.114,"Bromley","Crystal Palace"
"117","E05000117",0,5,1,1,0,0.6,0,0.6,1.6,0.470003629245735,"Darwin",2903.96,"Bromley","Darwin"
"118","E05000118",2,9,1,5,5,1,0,1,4.6,1.52605630349505,"Farnborough and Crofton",700.584,"Bromley","Farnborough and Crofton"
"119","E05000119",1,4,1,4,4,0.8,0,1,2.8,1.02961941718116,"Hayes and Coney Hall",1082.306,"Bromley","Hayes and Coney Hall"
"120","E05000120",1,8,1,5,6,1,0.6,1.4,4.2,1.43508452528932,"Kelsey and Eden Park",519.895,"Bromley","Kelsey and Eden Park"
"121","E05000121",2,11,1,2,4,0.8,0.4,1.2,3.8,1.33500106673234,"Mottingham and Chislehurst North",244.184,"Bromley","Mottingham and Chislehurst North"
"122","E05000122",2,4,2,2,4,1,0.4,1.2,2.8,1.02961941718116,"Orpington",425.616,"Bromley","Orpington"
"123","E05000123",0,3,0,2,2,0.6,0.6,1.2,1.4,0.336472236621213,"Penge and Cator",295.972,"Bromley","Penge and Cator"
"124","E05000124",2,1,2,3,0,0.6,0.2,1,1.2,0.182321556793955,"Petts Wood and Knoll",430.127,"Bromley","Petts Wood and Knoll"
"125","E05000125",1,5,1,4,6,1,0.4,1.2,3.4,1.22377543162212,"Plaistow and Sundridge",400.094,"Bromley","Plaistow and Sundridge"
"126","E05000126",1,4,0,3,9,0.8,0.4,1.2,4,1.38629436111989,"Shortlands",245.665,"Bromley","Shortlands"
"127","E05000127",4,9,1,4,11,0.8,0.4,1,5.8,1.75785791755237,"West Wickham",441.047,"Bromley","West Wickham"
"128","E05000128",11,16,3,8,9,1,0.8,1.8,9.4,2.24070968927596,"Belsize",78.057,"Camden","Belsize"
"129","E05000129",366,2153,306,269,1473,1,0.4,1.4,913.4,6.8171739007509,"Bloomsbury",102.091,"Camden","Bloomsbury"
"130","E05000130",0,4,1,2,0,0.6,0.4,1,1,0,"Camden Town with Primrose Hill",116.615,"Camden","Camden Town with Primrose Hill"
"131","E05000131",1,4,1,2,0,0.8,0.8,1.4,1.8,0.587786664902119,"Cantelowes",75.933,"Camden","Cantelowes"
"132","E05000132",8,15,4,4,9,1,0.6,1.4,8,2.07944154167984,"Fortune Green",100.652,"Camden","Fortune Green"
"133","E05000133",2,7,4,3,5,0.8,0.8,1.4,2.8,1.02961941718116,"Frognal and Fitzjohns",153.023,"Camden","Frognal and Fitzjohns"
"134","E05000134",1,4,1,3,2,1,0.8,1.7,2.6,0.955511445027436,"Gospel Oak",69.232,"Camden","Gospel Oak"
"135","E05000135",1,3,1,2,2,0.8,0.8,1.4,1.4,0.336472236621213,"Hampstead Town",244.939,"Camden","Hampstead Town"
"136","E05000136",0,3,1,2,1,0.6,0.6,1.4,1.6,0.470003629245735,"Haverstock",73.177,"Camden","Haverstock"
"137","E05000137",8,11,1,4,2,1,0.4,1,5.4,1.68639895357023,"Highgate",323.926,"Camden","Highgate"
"138","E05000138",366,2153,306,269,1473,1,0.2,1.2,913.4,6.8171739007509,"Holborn and Covent Garden",119.493,"Camden","Holborn and Covent Garden"
"139","E05000139",1,11,2,2,0,0.8,0.6,1.4,3.2,1.16315080980568,"Kentish Town",102.895,"Camden","Kentish Town"
"140","E05000140",0,6,1,1,0,0.6,0.4,1.2,1.6,0.470003629245735,"Kilburn",68.518,"Camden","Kilburn"
"141","E05000141",366,2153,306,269,1473,1,0.4,1.4,913.4,6.8171739007509,"King's Cross",61.138,"Camden","King's Cross"
"142","E05000142",2,16,0,3,13,0.8,0.6,1.4,6.8,1.91692261218206,"Regent's Park",134.956,"Camden","Regent's Park"
"143","E05000143",1,4,3,3,1,1,0.6,1.4,2,0.693147180559946,"St. Pancras and Somers Town",139.889,"Camden","St. Pancras and Somers Town"
"144","E05000144",24,116,11,10,104,1,0.6,1.6,53,3.97029191355212,"Swiss Cottage",125.671,"Camden","Swiss Cottage"
"145","E05000145",37,69,17,21,46,1,0.6,1.6,38,3.63758615972639,"West Hampstead",88.729,"Camden","West Hampstead"
"146","E05000146",1,9,1,2,8,1,0.8,1.6,4.2,1.43508452528932,"Addiscombe",158.808,"Croydon","Addiscombe"
"147","E05000147",5,3,0,2,4,0.6,0.6,1.2,2.4,0.8754687373539,"Ashburton",271.173,"Croydon","Ashburton"
"148","E05000148",1,1,3,3,5,1,0.8,1.6,2.4,0.8754687373539,"Bensham Manor",144.147,"Croydon","Bensham Manor"
"149","E05000149",0,3,1,2,7,0.6,0.8,1.4,2.2,0.78845736036427,"Broad Green",266.195,"Croydon","Broad Green"
"150","E05000150",2,4,0,3,2,0.8,0,0.8,2.4,0.8754687373539,"Coulsdon East",774.358,"Croydon","Coulsdon East"
"151","E05000151",2,3,1,4,2,0.8,0.2,1,1.8,0.587786664902119,"Coulsdon West",499.147,"Croydon","Coulsdon West"
"152","E05000152",1,3,0,2,2,0.6,0.6,1.2,1.4,0.336472236621213,"Croham",352.705,"Croydon","Croham"
"153","E05000153",1,2,1,3,0,0.6,0.6,1.2,1.4,0.336472236621213,"Fairfield",377.221,"Croydon","Fairfield"
"154","E05000154",2,3,0,2,3,0.8,0.8,1.4,2,0.693147180559945,"Fieldway",148.649,"Croydon","Fieldway"
"155","E05000155",0,4,0,6,2,0.6,0,0.8,2.6,0.955511445027437,"Heathfield",871.342,"Croydon","Heathfield"
"156","E05000156",2,7,0,3,2,0.8,0,0.8,2.8,1.02961941718116,"Kenley",645.609,"Croydon","Kenley"
"157","E05000157",1,9,1,3,2,0.8,0.6,1.4,3,1.09861228866811,"New Addington",241.71,"Croydon","New Addington"
"158","E05000158",6,17.5,2.5,5.5,14,1,0.4,1.4,8.9,2.07944154167984,"Norbury",251.818,"Croydon","Norbury"
"159","E05000159",2,6,0,2,2,0.8,0.2,1,2.4,0.8754687373539,"Purley",417.518,"Croydon","Purley"
"160","E05000160",1,6,1.5,2,2,0.8,0.2,1,2.4,0.8754687373539,"Sanderstead",634.697,"Croydon","Sanderstead"
"161","E05000161",1,3,0,3,4,0.8,0.8,1.6,1.8,0.587786664902119,"Selhurst",227.303,"Croydon","Selhurst"
"162","E05000162",5,8,1,4,2,0.8,0,1,3.6,1.28093384546206,"Selsdon and Ballards",639.834,"Croydon","Selsdon and Ballards"
"163","E05000163",2,5,3,3,4,1,0.6,1.4,3.4,1.22377543162212,"Shirley",280.541,"Croydon","Shirley"
"164","E05000164",1,2,1,2,0,0.8,0.8,1.4,1.4,0.336472236621213,"South Norwood",237.817,"Croydon","South Norwood"
"165","E05000165",1,3,0,3,3,0.8,0.8,1.6,1.8,0.587786664902119,"Thornton Heath",168.107,"Croydon","Thornton Heath"
"166","E05000166",0,2,1,4,3,0.6,0.6,1.4,1.8,0.587786664902119,"Upper Norwood",262.328,"Croydon","Upper Norwood"
"167","E05000167",1,4,2,3,5,0.8,0.8,1.6,2.2,0.784307958956923,"Waddon",364.759,"Croydon","Waddon"
"168","E05000168",2,7,4,4,12,1,0.8,1.6,4.8,1.56861591791385,"West Thornton",197.117,"Croydon","West Thornton"
"169","E05000169",0,2,2,2,2,0.8,0.6,1.4,1.2,0.182321556793955,"Woodside",216.651,"Croydon","Woodside"
"170","E05000170",6,12,2,14,20,1,0.6,1.6,10.8,2.37954613413017,"Acton Central",177.463,"Ealing","Acton Central"
"171","E05000171",1,3,1,2,0,0.8,0.6,1.4,1.4,0.336472236621213,"Cleveland",222.856,"Ealing","Cleveland"
"172","E05000172",2,5,1,3,4,0.8,0.6,1.4,3.8,1.33500106673234,"Dormers Wells",225.73,"Ealing","Dormers Wells"
"173","E05000173",2,3,3,3,0,0.8,0.6,1.4,1.4,0.336472236621213,"Ealing Broadway",185.676,"Ealing","Ealing Broadway"
"174","E05000174",0,3,0,2,2,0.4,0.6,1.2,1.4,0.336472236621213,"Ealing Common",214.106,"Ealing","Ealing Common"
"175","E05000175",0,2,0,2,1,0.6,0.8,1.4,1.2,0.182321556793955,"East Acton",427.588,"Ealing","East Acton"
"176","E05000176",3,4,1,4,13,1,0.8,1.6,5,1.6094379124341,"Elthorne",199.963,"Ealing","Elthorne"
"177","E05000177",4,6,1,4,6,0.8,0.8,1.6,3.3,1.18977306706509,"Greenford Broadway",251.669,"Ealing","Greenford Broadway"
"178","E05000178",1,6,1,3,14,1,0.6,1.4,5.6,1.7227665977411,"Greenford Green",338.477,"Ealing","Greenford Green"
"179","E05000179",1,5,1,3,5,0.8,0.6,1.4,2.6,0.955511445027436,"Hanger Hill",327.724,"Ealing","Hanger Hill"
"180","E05000180",3,10,2,4,12,0.8,0.6,1.4,5.8,1.75785791755237,"Hobbayne",220.937,"Ealing","Hobbayne"
